business_type,years_in_operation,annual_revenue,monthly_cashflow,loan_amount_requested,credit_score,existing_loans,debt_to_income_ratio,collateral_value,repayment_history,default_flag
Retail,1,6763958,329044,1990374,790,0,0.15,2649088,Good,0
Trading,8,2268067,98840,54331,440,4,0.36,2428950,Good,0
Retail,12,6050874,185767,1615976,402,1,0.28,3950070,Good,0
Services,19,1951348,181297,262854,525,0,0.81,209691,Poor,1
Manufacturing,12,3171259,368216,600049,593,0,0.14,4666243,Poor,1
Manufacturing,8,1154741,378511,839694,605,3,0.24,3670440,Poor,0
Services,8,7423815,69156,1603416,553,4,0.54,4179388,Good,0
Retail,21,3652214,228281,830080,479,4,0.48,4872818,Average,0
Services,13,2323615,107453,2331696,339,1,0.14,2800678,Poor,1
Services,12,3310087,178901,2497154,819,1,0.11,4075224,Poor,0
Trading,16,4944081,494124,1183243,845,0,0.89,1344721,Average,0
Services,1,441449,45938,54677,535,4,0.63,1221172,Poor,1
Manufacturing,13,2975032,79164,254580,762,4,0.39,3083211,Average,0
Services,7,5681299,467746,180334,527,1,0.48,4195608,Good,0
Manufacturing,5,4790224,219271,413581,782,2,0.31,2744162,Average,0
Manufacturing,8,3318439,80282,2125996,729,0,0.38,898880,Average,0
Manufacturing,14,1928662,329945,1018121,321,4,0.62,3063940,Good,1
Retail,23,435370,422681,2102109,642,3,0.81,3234055,Poor,1
Trading,13,1156636,285470,2558963,339,3,0.25,4990758,Good,1
Manufacturing,15,3269791,416875,1683012,472,2,0.77,77354,Poor,1
Manufacturing,23,4332516,473505,1931934,738,1,0.2,2523985,Poor,0
Retail,17,4942681,178666,2746711,478,1,0.27,1168621,Average,0
Manufacturing,15,3244236,135819,608745,432,1,0.13,4384200,Good,0
Services,20,6494868,286907,616819,650,3,0.21,3269508,Average,0
Services,18,4986134,161900,2351487,824,1,0.83,3180035,Good,0
Trading,18,1216004,329732,2613668,839,3,0.47,2344811,Good,0
Manufacturing,2,6835223,293365,244243,805,2,0.16,2882396,Average,0
Retail,4,1893786,424427,1611021,383,0,0.87,1313964,Poor,1
Services,1,727244,33569,307231,763,4,0.8,4085952,Poor,1
Retail,4,4998981,247966,2920741,642,2,0.7,1073666,Good,0
Retail,18,7454884,57860,667423,579,3,0.85,2197047,Poor,1
Services,5,3855912,222630,640642,562,2,0.28,441752,Average,0
Retail,19,5311002,327481,687031,465,4,0.77,2350707,Average,1
Services,15,5013199,465527,2915893,592,0,0.65,4064833,Average,1
Retail,8,1575393,164587,2053369,808,4,0.8,3020346,Good,1
Services,20,2814368,91695,1656756,525,3,0.74,536809,Good,1
Manufacturing,17,2389319,273078,1300844,469,4,0.38,4818738,Poor,1
Trading,1,5425819,262599,966094,747,2,0.72,2241928,Average,0
Services,12,7642898,388893,145057,801,1,0.31,2156085,Average,0
Services,19,2509821,175976,1136985,826,2,0.36,1643965,Good,0
Trading,15,1092330,211007,296889,678,3,0.19,4238160,Good,0
Services,9,4774843,325934,2574838,500,0,0.85,3989512,Good,1
Services,7,2042955,350724,2296609,549,4,0.33,2520983,Average,1
Retail,2,7612203,488364,1515088,708,0,0.52,1811146,Average,0
Trading,9,566150,25636,2003574,424,3,0.41,3030168,Poor,1
Manufacturing,10,3086905,281578,2471012,412,4,0.87,794733,Average,1
Services,2,2145964,359273,925584,436,2,0.37,3232577,Poor,1
Trading,19,7034714,416108,1124958,795,2,0.72,4923657,Poor,1
Retail,11,789415,303816,2223827,449,3,0.78,1512820,Average,1
Manufacturing,13,6466462,287956,2693859,642,4,0.45,349135,Poor,0
Trading,10,3344287,247693,131238,620,2,0.4,2589626,Poor,0
Manufacturing,14,3803548,20654,1092536,831,3,0.7,1465226,Good,0
Manufacturing,18,946012,74633,1793227,588,3,0.83,1457466,Average,1
Manufacturing,19,1935765,37143,2421693,788,0,0.7,932930,Poor,1
Services,22,7485115,75934,636470,791,2,0.28,3087287,Poor,0
Services,9,5219161,349478,227216,551,4,0.81,1355511,Poor,1
Retail,7,2885181,123463,504988,376,2,0.41,3114917,Average,0
Retail,3,2569798,145851,2226512,691,2,0.56,4985680,Good,0
Trading,20,4481726,49087,2586015,711,2,0.77,2528194,Good,0
Retail,6,3739289,162690,173662,472,3,0.25,4992581,Average,0
Manufacturing,21,6941620,290590,1868352,500,1,0.73,461322,Average,1
Manufacturing,2,7985815,384271,2944558,516,1,0.58,3500911,Average,0
Services,6,7734913,331011,686438,675,0,0.81,3611930,Average,0
Manufacturing,3,6834390,464244,1530175,310,2,0.24,3382807,Good,0
Trading,16,2305534,342245,1879484,311,1,0.44,3201297,Poor,1
Manufacturing,8,432659,178272,1717690,734,0,0.77,2178586,Poor,1
Manufacturing,2,2898475,246179,2621920,672,3,0.12,3390518,Average,0
Trading,17,939872,370218,1982656,572,2,0.19,942967,Average,1
Retail,9,4155798,212537,275121,808,4,0.89,1100658,Poor,1
Retail,12,6583541,237508,2019036,431,3,0.32,447905,Good,0
Trading,3,5241412,138422,872922,618,0,0.88,2435703,Average,0
Services,11,3259470,370036,2796153,467,3,0.25,3749088,Average,0
Manufacturing,1,1236320,239631,2124722,696,4,0.39,508469,Good,0
Trading,23,4186912,402188,1154188,479,3,0.7,3935377,Good,1
Manufacturing,13,5310168,59148,2771914,357,0,0.63,3619586,Good,1
Services,15,6570142,365072,1396879,779,4,0.56,2733440,Average,0
Manufacturing,5,5722569,171770,981310,759,4,0.52,2937093,Good,0
Trading,21,7974549,455686,2356569,360,3,0.77,2397866,Average,1
Manufacturing,17,5708169,333804,261463,668,4,0.29,3677050,Average,0
Retail,23,5825908,467126,1717788,420,3,0.45,2113415,Good,0
Services,24,4761902,317594,318602,845,2,0.22,1229747,Poor,0
Services,6,1947824,207535,2444820,316,4,0.58,609563,Good,1
Services,21,1450997,315901,712213,795,3,0.3,775299,Poor,0
Trading,22,3683973,98012,1401197,796,2,0.37,1330295,Good,0
Services,11,6110786,388894,592608,804,4,0.48,1070807,Good,0
Retail,18,5495756,409187,2241306,831,2,0.12,4897395,Average,0
Trading,4,4425903,483463,2723683,614,4,0.17,809532,Average,0
Retail,3,5589991,485231,2557720,368,0,0.65,3811856,Average,1
Manufacturing,13,732829,444606,143476,460,0,0.44,1557711,Average,0
Manufacturing,23,4711054,76116,164560,444,3,0.79,773418,Average,1
Manufacturing,9,4614896,164233,970707,684,1,0.66,11357,Average,0
Manufacturing,21,534000,52152,1399987,568,0,0.11,2557341,Average,1
Retail,6,3177429,493387,919241,753,1,0.59,680306,Poor,0
Trading,12,622137,126379,599656,817,2,0.17,4038072,Poor,0
Trading,2,7768684,246905,1544475,649,2,0.72,2676589,Average,0
Services,3,3323504,40836,2147953,409,1,0.89,1054142,Poor,1
Retail,3,2905221,241439,2777978,782,3,0.52,828008,Good,0
Manufacturing,12,4220367,479759,2756709,706,4,0.65,3477422,Poor,1
Retail,15,7444013,206720,1876629,350,1,0.29,1624272,Average,0
Services,9,3663244,177403,2445265,702,1,0.45,1495298,Poor,0
Services,23,4873957,161835,1574061,775,1,0.78,2870510,Good,0
Retail,8,5604482,351588,141679,386,1,0.23,1875175,Poor,1
Retail,11,2600269,113109,2828217,367,1,0.31,4490147,Average,1
Retail,16,4731373,170259,1814239,341,3,0.46,1360265,Good,0
Trading,22,866510,163029,1389083,356,0,0.67,4688289,Good,1
Manufacturing,4,4281383,417595,1260368,495,4,0.4,3521799,Poor,1
Retail,1,7881116,441175,1790081,361,0,0.84,2315574,Good,1
Retail,24,1590894,102018,662236,562,1,0.18,1369993,Good,0
Retail,7,6132501,143076,2424151,411,0,0.4,1685176,Good,0
Services,2,1008092,178177,2576537,477,3,0.67,2925169,Average,1
Services,24,1397996,414093,227476,325,2,0.28,2856804,Good,0
Trading,5,899792,199425,1249217,709,0,0.63,4436529,Poor,1
Manufacturing,7,1875326,365932,2796514,830,4,0.23,2960191,Poor,1
Trading,4,2668756,379014,1882942,616,3,0.14,1782700,Good,0
Manufacturing,5,5117911,235657,2725877,831,2,0.2,4402526,Poor,0
Services,24,4226690,365452,2303962,405,3,0.84,255117,Good,1
Services,1,5158939,464783,974276,763,1,0.54,4033245,Poor,0
Services,1,6554597,340057,1118307,545,2,0.74,3180135,Good,1
Trading,15,6591140,22637,2812643,380,4,0.37,3777293,Good,0
Retail,20,968629,485994,2999908,695,2,0.57,3356318,Good,0
Retail,19,2002457,324169,2332321,821,4,0.5,1487444,Average,0
Services,10,1471248,257989,1981441,563,1,0.86,3811336,Poor,1
Retail,18,3904886,252259,315033,573,4,0.7,272659,Good,1
Retail,3,1683640,381652,583857,471,3,0.68,3287630,Average,1
Trading,11,813953,102464,1972201,564,0,0.14,3468503,Average,1
Manufacturing,15,6351865,310886,1183768,325,3,0.54,1411504,Good,0
Services,11,7009038,31831,1185730,768,3,0.47,3021455,Good,0
Services,17,4538340,133768,2355694,775,2,0.84,3373898,Good,0
Trading,17,5691321,266983,1206649,655,1,0.31,2504696,Good,0
Trading,6,6734323,367236,1318470,325,0,0.32,3454568,Good,0
Retail,5,7710053,373023,2666387,333,4,0.43,4148674,Poor,1
Services,8,4863653,370514,2941196,563,2,0.29,4233176,Good,0
Manufacturing,2,985503,408681,1674508,437,1,0.2,1627835,Good,1
Trading,16,722641,459978,1966749,761,0,0.79,4741898,Poor,1
Manufacturing,20,2223217,124824,2567699,467,3,0.55,1863247,Average,1
Manufacturing,24,637283,108741,892329,380,1,0.79,4811958,Poor,1
Services,12,7352048,38830,1243582,706,1,0.76,4556816,Average,0
Services,6,1878232,337188,1583286,345,1,0.33,4332823,Average,0
Trading,1,5077421,356092,938976,352,3,0.54,2576272,Poor,1
Services,4,691180,89202,1641570,775,4,0.17,4941709,Good,0
Services,17,5996390,319189,224588,315,2,0.83,4822026,Average,1
Services,13,7392607,237394,1580332,659,4,0.42,2809355,Good,0
Manufacturing,18,3999243,222123,174746,786,0,0.41,2385517,Poor,0
Trading,5,5128022,389653,594719,801,2,0.34,2355332,Average,0
Retail,24,2797934,177699,1798071,440,0,0.47,3500671,Good,0
Manufacturing,24,6603762,297342,1083290,746,3,0.3,2153619,Average,0
Services,3,878110,351665,481231,589,4,0.4,111414,Average,0
Manufacturing,11,4518346,126471,805398,508,1,0.74,4237390,Poor,1
Services,13,4902606,311619,2702825,774,2,0.77,4043097,Good,0
Services,4,7264203,256824,2479495,712,1,0.34,4799736,Good,0
Manufacturing,14,3010864,39403,531438,726,0,0.48,3087901,Average,0
Trading,22,7822722,23681,2472297,670,1,0.8,2144386,Good,0
Services,11,5241714,373699,2302201,589,1,0.14,3468921,Average,0
Trading,10,4643699,401028,624120,731,3,0.81,1898851,Poor,1
Retail,19,7453314,375266,1925939,567,3,0.28,703407,Poor,1
Services,18,4010879,135260,2755430,450,4,0.64,2872623,Good,1
Trading,6,3435609,193364,1308542,554,0,0.57,2422300,Poor,1
Trading,15,7226767,125386,1170780,652,3,0.54,4300015,Poor,0
Retail,21,1235783,253378,2192936,676,3,0.79,3565025,Good,1
Trading,10,5852023,418845,1354140,657,4,0.18,3792777,Average,0
Trading,5,2459932,113246,663794,669,2,0.38,1817030,Poor,0
Retail,5,3206492,115864,1838702,526,4,0.53,3030298,Good,0
Services,10,2065520,228886,1641711,602,1,0.75,3482975,Good,0
Trading,5,3834150,290561,1678853,688,1,0.27,4039323,Good,0
Trading,3,6442314,401032,2108721,676,3,0.74,2594440,Poor,1
Trading,23,5986321,185837,2010391,417,3,0.42,2345286,Poor,1
Manufacturing,6,2041888,356643,513144,304,4,0.25,118778,Average,0
Retail,4,3546434,413052,2011921,743,4,0.71,1983479,Average,0
Manufacturing,18,6235903,265160,2953135,651,0,0.17,1063906,Average,0
Retail,9,422019,207646,1249029,832,1,0.51,1458256,Average,0
Services,17,4866156,279278,949751,423,4,0.15,1181782,Average,0
Services,13,2065317,309819,367817,576,2,0.39,184,Average,0
Trading,15,479001,276681,2170100,693,0,0.58,2586291,Good,0
Retail,20,3192927,485483,2763704,659,4,0.54,2015354,Average,0
Services,17,3545988,191635,109072,768,3,0.42,4004959,Poor,0
Retail,13,7810895,31332,1756422,356,4,0.44,3345850,Average,0
Services,16,984494,274817,2213843,550,3,0.28,3610557,Poor,1
Manufacturing,22,3427022,301321,2812594,449,3,0.46,3982706,Average,0
Services,4,4148189,412704,57086,751,1,0.86,2656560,Good,0
Manufacturing,5,893731,240326,439962,461,1,0.78,4898148,Good,1
Services,5,7345927,219519,642141,419,4,0.22,1764499,Poor,1
Trading,9,2716826,281849,851680,650,4,0.12,80528,Average,0
Manufacturing,17,5154491,339248,1909234,398,2,0.85,4380489,Good,1
Services,13,4590447,366479,992529,466,0,0.52,2281320,Good,0
Trading,2,4163741,397082,813210,813,0,0.53,1582997,Average,0
Manufacturing,13,444771,100730,2719820,700,4,0.72,1710341,Poor,1
Trading,22,5514636,418167,1637138,664,1,0.35,1996349,Poor,0
Retail,21,6049593,257474,2136172,625,2,0.49,1786346,Poor,0
Retail,23,1308923,310477,1415265,546,0,0.87,115742,Good,1
Manufacturing,19,3298111,303817,165981,733,4,0.64,2769597,Average,0
Services,3,2120908,396565,2313457,392,1,0.22,3705718,Good,1
Manufacturing,10,5154977,60870,66304,567,1,0.21,1824011,Good,0
Trading,2,2017534,273017,1372014,620,1,0.26,3290302,Good,0
Services,13,411362,147536,338569,361,3,0.71,2405775,Good,1
Retail,19,4216533,353245,774071,599,1,0.34,4797976,Average,0
Services,17,5833831,304965,452641,702,4,0.12,3233685,Good,0
Retail,21,2336503,45494,667752,602,2,0.86,1325146,Good,0
Services,14,4670602,119477,1012494,552,4,0.24,3609175,Poor,1
Services,12,2980990,408227,1565538,777,1,0.11,769867,Good,0
Services,21,4967592,225232,1953303,668,2,0.29,2930449,Average,0
Trading,12,2662854,394842,2949675,459,0,0.29,2668844,Good,1
Trading,11,7584268,393704,705362,465,0,0.44,3761262,Average,0
Manufacturing,7,2709409,414051,2721851,504,4,0.84,843855,Average,1
Manufacturing,4,6382311,300790,2581326,566,2,0.8,2188099,Average,1
Retail,19,6254118,143777,2242848,437,4,0.47,3613323,Poor,1
Trading,1,3350999,97360,2823219,667,2,0.43,366014,Poor,0
Retail,24,7698251,319479,720608,742,2,0.54,292881,Good,0
Manufacturing,3,2039122,351495,1694173,316,4,0.29,4772917,Good,0
Retail,13,3351622,397078,1019224,367,2,0.14,1806106,Good,0
Manufacturing,15,3086281,153501,2817549,432,1,0.85,3803090,Average,1
Trading,2,1075292,324094,117421,729,2,0.25,868591,Average,0
Services,11,4227352,80654,286436,607,2,0.26,715597,Average,0
Trading,4,2633647,389566,1573659,473,4,0.48,4048792,Good,0
Retail,19,4023234,392078,1401332,711,0,0.49,3463585,Good,0
Retail,17,6872829,139975,2628399,396,3,0.11,1502651,Good,0
Trading,3,2210217,219215,1636314,453,2,0.22,1818165,Good,0
Trading,18,1900741,373330,1108067,541,3,0.4,1388963,Poor,1
Manufacturing,8,489073,386378,2264178,603,2,0.65,3628597,Poor,1
Retail,22,659281,122326,124804,584,4,0.28,4217047,Poor,1
Retail,24,7415972,97527,812803,326,4,0.44,843171,Good,0
Trading,19,7459668,368848,2022871,701,2,0.55,3789508,Poor,0
Services,5,3407548,444315,1990483,659,4,0.81,993830,Poor,1
Retail,7,7787910,452601,2961898,359,4,0.36,1031109,Good,0
Services,21,4714011,186991,537335,501,2,0.21,2981740,Poor,1
Trading,8,2638401,116952,1083061,669,0,0.49,1260780,Good,0
Trading,5,1385610,342926,2868141,832,2,0.7,1082697,Good,1
Manufacturing,17,4665693,353260,2681407,451,0,0.19,436211,Good,0
Retail,5,4158884,485806,1311402,401,4,0.44,3064487,Average,0
Services,4,1359165,371770,1403940,745,0,0.11,4633198,Good,0
Manufacturing,22,5600101,453603,2021027,528,4,0.13,3504214,Poor,1
Retail,19,7895959,166895,1416851,424,0,0.49,83404,Poor,1
Manufacturing,21,4233817,66015,2629082,535,0,0.34,1358638,Good,0
Trading,2,3806172,122877,2176028,461,2,0.78,4702898,Average,1
Retail,11,7232973,297483,1773907,652,0,0.58,1236883,Average,0
Manufacturing,22,1125963,154563,2376344,367,4,0.46,1578989,Average,1
Manufacturing,13,876515,413922,1353343,472,2,0.43,1287156,Poor,1
Services,15,2662460,117493,1959503,560,0,0.5,3535294,Average,0
Manufacturing,12,4587382,166800,2399465,516,2,0.13,3115307,Average,0
Retail,22,2350053,420213,1126837,423,3,0.81,1751447,Good,1
Retail,21,5321983,211480,1573163,461,2,0.9,2388342,Average,1
Services,22,1059401,471313,1587746,500,3,0.25,1582978,Average,1
Retail,11,2285681,411670,1679040,753,3,0.2,350857,Average,0
Trading,7,6554350,451739,2461596,701,2,0.21,3434681,Good,0
Retail,5,7166343,141648,2289564,761,4,0.63,4646989,Good,0
Retail,17,2861913,307307,2966596,574,4,0.63,77185,Average,1
Manufacturing,24,2119231,168790,1566925,505,4,0.78,1453672,Poor,1
Manufacturing,20,4367784,107508,2041637,339,1,0.7,1304862,Poor,1
Retail,9,5421225,234839,1958281,572,3,0.46,712515,Good,0
Services,14,3635379,321763,948760,392,2,0.59,378337,Average,0
Manufacturing,12,1849317,294270,2515933,341,4,0.65,1660626,Poor,1
Services,6,4562511,84926,722636,764,4,0.51,106745,Average,0
Retail,17,6925655,60633,434083,678,2,0.48,4789448,Good,0
Retail,19,1188698,228726,581598,406,3,0.62,2398507,Poor,1
Trading,19,3786142,23317,1463664,627,2,0.55,1396189,Good,0
Manufacturing,16,2508578,327124,2625248,364,1,0.62,1913938,Average,1
Retail,12,1859657,326259,1764327,664,1,0.59,3906344,Good,0
Trading,12,2531946,212718,2328845,783,2,0.68,2400713,Good,0
Manufacturing,20,7997808,325302,716252,323,3,0.61,4164905,Good,1
Retail,6,6238271,207035,2881098,839,4,0.52,948941,Good,0
Retail,23,4180323,460847,2586047,361,1,0.65,806951,Poor,1
Manufacturing,4,845726,200388,2319839,790,1,0.46,2891567,Average,0
Manufacturing,6,2980259,387508,653359,572,3,0.29,2889219,Poor,1
Manufacturing,11,6635312,472558,746362,528,1,0.1,2985957,Average,0
Retail,1,742244,297648,2124887,319,1,0.55,4566331,Average,1
Retail,24,7699839,219665,1483331,302,3,0.57,248945,Average,0
Trading,23,5330613,439876,1169234,720,2,0.88,2172127,Average,0
Services,15,790999,319340,1632716,606,4,0.39,4254970,Average,0
Manufacturing,11,3489189,348082,317531,731,4,0.42,1366725,Poor,0
Retail,19,5112066,421821,1982303,435,1,0.26,4336779,Average,0
Retail,18,6500853,339532,2801821,814,4,0.16,4779069,Good,0
Manufacturing,17,6936736,232369,2449290,492,2,0.72,886837,Poor,1
Services,19,7922611,75501,2381636,714,1,0.3,1554777,Poor,0
Manufacturing,21,6282357,204381,2116494,417,4,0.59,1637899,Average,0
Services,14,707407,47043,476941,508,0,0.65,4680009,Good,1
Retail,18,1171158,53635,705920,333,0,0.48,3589555,Good,0
Services,19,1603306,230387,436354,617,0,0.8,4513256,Average,0
Trading,15,5789612,100691,2990149,419,0,0.46,3071708,Average,0
Retail,15,720602,315276,1362032,824,0,0.33,2220883,Good,0
Trading,4,4132809,297510,985709,388,1,0.82,354000,Poor,1
Manufacturing,7,1927650,113944,2535178,811,3,0.79,2140050,Poor,1
Manufacturing,13,6867304,223179,2027675,346,3,0.23,3825040,Average,0
Manufacturing,3,356635,475796,2234718,821,1,0.12,3228518,Poor,1
Services,16,7511083,397411,2430625,583,1,0.17,3552704,Poor,1
Retail,9,5895734,471105,1333326,676,2,0.33,3416698,Good,0
Manufacturing,8,3162349,492769,2144589,433,3,0.88,1521267,Poor,1
Manufacturing,20,2643136,59236,2135469,547,0,0.55,361116,Good,0
Retail,13,5868017,286294,1396365,617,1,0.4,4015373,Average,0
Manufacturing,17,5655632,393513,1186078,735,0,0.81,451420,Average,0
Trading,17,7851226,301567,536598,475,3,0.46,2499041,Good,0
Retail,17,4722888,24137,399454,650,4,0.35,822590,Good,0
Retail,1,3864360,49992,1918521,442,4,0.85,468205,Average,1
Retail,8,6724342,392684,583037,697,1,0.78,1173788,Good,0
Trading,19,5621417,135140,634933,668,2,0.77,4865060,Average,0
Retail,6,7428146,195993,263933,800,0,0.51,1040486,Average,0
Trading,3,2020444,141225,1151751,669,1,0.73,1136045,Average,0
Retail,5,385166,492585,1051720,681,2,0.24,3724055,Average,0
Services,13,2773006,349061,2295547,385,0,0.56,3896973,Average,0
Manufacturing,15,3743571,355834,2197914,759,3,0.89,359140,Average,0
Services,14,6899935,316379,2104300,624,4,0.33,2124420,Poor,0
Manufacturing,23,4278966,230047,2735662,821,2,0.74,3954228,Poor,1
Trading,16,5358589,39122,477709,788,0,0.49,2483057,Average,0
Services,18,4164856,306100,305539,696,1,0.13,802717,Poor,0
Retail,22,597883,83879,2768807,654,0,0.71,3770555,Good,1
Manufacturing,22,7150529,78560,1800866,587,1,0.23,217975,Good,0
Manufacturing,11,4657356,496016,2088803,758,4,0.61,2618623,Average,0
Services,3,4452567,392454,1852272,835,4,0.17,3576731,Poor,0
Trading,22,1056079,219757,1131159,590,0,0.86,1536793,Good,1
Services,10,3933646,437876,703080,467,0,0.33,2640401,Good,0
Trading,10,6414328,257268,2227096,727,1,0.28,3426695,Good,0
Trading,21,1743401,499280,2085030,789,1,0.2,2434705,Good,0
Manufacturing,16,6657709,283312,2000852,654,2,0.86,2201401,Poor,1
Services,12,7070153,327268,1090444,495,2,0.67,1074428,Good,1
Services,2,915416,186969,62120,844,2,0.69,3677020,Good,0
Trading,9,4391373,166104,674135,310,0,0.5,1547824,Good,0
Services,24,2558233,334941,672863,555,2,0.48,3304623,Average,0
Retail,3,3311165,317438,594748,695,0,0.19,3986246,Good,0
Retail,24,3032406,457043,2686403,708,4,0.55,738592,Good,0
Services,15,1486430,285660,1962124,661,3,0.3,3589750,Poor,1
Services,3,4455304,170823,2103902,558,4,0.88,554868,Good,1
Trading,19,7215096,50373,601616,302,0,0.74,2735603,Good,1
Retail,18,7010605,142026,2271186,383,0,0.43,2178270,Good,0
Retail,8,6406466,50270,1644469,455,3,0.22,1599333,Average,0
Manufacturing,17,4109395,423602,1995909,475,1,0.73,1900187,Poor,1
Trading,8,7339023,252931,2779681,771,1,0.2,4742828,Poor,0
Manufacturing,7,4207297,215889,884030,723,1,0.25,4088342,Average,0
Retail,7,3029737,85184,241848,433,2,0.27,1879415,Average,0
Trading,3,6274114,230765,2401441,679,1,0.55,83299,Poor,0
Services,1,2959786,57879,1957266,576,2,0.73,1917573,Good,1
Trading,4,1460714,331741,2974553,535,2,0.35,2790692,Poor,1
Services,5,612916,452348,2316598,312,1,0.17,1708588,Average,1
Services,1,4435316,23626,1826238,641,1,0.47,127845,Good,0
Trading,15,4534453,105936,112784,334,3,0.7,4108862,Poor,1
Services,5,648844,254873,983432,513,3,0.28,4902940,Good,1
Manufacturing,13,3280342,101515,1119850,711,2,0.28,1784164,Good,0
Retail,8,3924656,228137,1752858,704,3,0.86,2736492,Average,0
Services,8,4622751,75390,870848,793,2,0.86,1182303,Poor,1
Manufacturing,5,2858845,429861,2364372,458,0,0.89,2548120,Average,1
Services,9,5548575,243032,766358,409,2,0.75,630025,Poor,1
Retail,1,1912033,74144,2509730,848,2,0.25,3638562,Poor,1
Manufacturing,4,3231531,164454,293768,825,3,0.27,3282072,Good,0
Retail,3,3624024,24025,2045127,646,0,0.37,4063450,Good,0
Retail,2,7423753,456442,1791070,578,4,0.35,3766444,Good,0
Manufacturing,8,5175217,361524,1558834,778,4,0.87,299615,Average,0
Manufacturing,23,3768282,274043,1085108,410,4,0.73,3036171,Good,1
Manufacturing,9,1714474,138910,193435,730,0,0.68,3093337,Average,0
Trading,2,653039,482927,528365,841,1,0.25,673346,Good,0
Manufacturing,14,7533776,116055,1012067,414,0,0.83,346768,Average,1
Manufacturing,14,1661425,408333,2964212,389,3,0.76,332744,Poor,1
Manufacturing,4,2590146,225782,2124242,511,2,0.23,1947100,Average,0
Manufacturing,6,5920724,416659,1088457,849,2,0.8,642624,Average,0
Services,11,3257498,303539,1669110,838,3,0.32,3654737,Average,0
Trading,3,5544761,292869,978665,659,3,0.16,3288403,Poor,0
Retail,8,6499951,53461,544209,785,2,0.63,1139304,Average,0
Manufacturing,3,6900965,278072,663398,671,1,0.62,2771314,Poor,1
Services,14,1869720,61115,1584230,514,1,0.18,147483,Good,0
Services,13,1427787,130084,2412106,314,1,0.36,2157551,Good,1
Services,13,5481930,365876,1813796,558,3,0.89,2323426,Poor,1
Retail,2,7796110,493006,1306847,762,2,0.64,1548303,Average,0
Manufacturing,13,7943374,361701,645976,419,2,0.68,4254996,Good,1
Trading,19,5434639,353404,901980,427,2,0.27,1716706,Average,0
Trading,6,2235657,179762,1816299,822,0,0.16,2003509,Average,0
Services,16,2282539,283551,323306,624,0,0.32,4549349,Poor,0
Retail,2,3871387,93568,2744975,619,4,0.3,768693,Good,0
Retail,8,5454124,78560,2547587,805,0,0.29,4778188,Poor,0
Retail,17,7867235,460556,2742304,825,1,0.25,2167661,Poor,0
Trading,23,5214150,168866,1712656,349,1,0.56,4204390,Poor,1
Services,2,2009813,170953,749793,368,1,0.36,2450350,Poor,1
Manufacturing,10,5582433,237364,2660366,690,1,0.76,3558795,Average,0
Trading,16,6050233,256770,1568642,682,4,0.25,2923316,Good,0
Services,6,1209210,246024,2928856,315,1,0.47,4053915,Good,1
Services,2,2252026,200775,1164764,738,3,0.11,3402872,Good,0
Manufacturing,2,7251502,457570,1284599,431,3,0.49,2323714,Average,0
Manufacturing,13,332766,111288,1966726,547,3,0.14,799129,Average,1
Manufacturing,24,6540327,491678,812476,572,0,0.88,485685,Poor,1
Retail,15,5050014,401164,610846,648,2,0.73,3149607,Poor,1
Manufacturing,2,7494478,381445,178938,783,4,0.49,216769,Poor,0
Services,7,6589270,269836,1245307,849,3,0.17,2771011,Poor,0
Manufacturing,3,4768653,34390,2944019,656,3,0.57,2840689,Good,0
Services,8,4974110,238547,2921712,617,1,0.71,4081883,Poor,1
Trading,23,7794631,47307,2759234,347,3,0.25,1910232,Average,0
Retail,14,6309723,247436,905656,309,1,0.55,3521241,Average,0
Trading,24,1760235,245121,516441,532,1,0.75,1399726,Average,1
Trading,23,1758316,271063,2672819,335,2,0.71,823681,Poor,1
Services,22,1727197,44502,1731405,712,0,0.74,3113889,Good,1
Trading,7,5571082,42486,534716,761,1,0.8,3378428,Good,0
Services,21,4428784,393957,1842363,303,1,0.85,688484,Poor,1
Manufacturing,7,4933662,189330,688922,343,2,0.42,2768299,Poor,1
Manufacturing,1,7439580,208788,827867,554,1,0.56,4542432,Average,0
Services,17,5232048,248300,1418465,413,4,0.73,1052417,Average,1
Manufacturing,9,6612311,123920,1726779,696,0,0.66,1355610,Good,0
Retail,21,7068419,232566,1612607,473,4,0.9,1438447,Average,1
Trading,13,4161460,364912,2552884,554,3,0.11,549690,Average,0
Retail,21,7402983,423964,2881934,765,0,0.38,4568161,Poor,0
Trading,19,3353380,82785,2364067,576,3,0.32,1006095,Good,0
Manufacturing,21,611385,96050,1752424,763,1,0.31,1770137,Poor,1
Retail,19,7218863,42738,1235560,801,2,0.28,97807,Good,0
Manufacturing,22,3907323,94231,2365583,740,4,0.67,1535595,Poor,1
Trading,17,7734869,93606,1810968,368,3,0.17,669220,Good,0
Services,23,6814524,323806,996301,808,1,0.69,614727,Average,0
Services,23,6557838,400457,711809,625,4,0.65,1317765,Good,0
Retail,10,6947883,247369,182797,366,4,0.3,2434212,Good,0
Manufacturing,10,1233476,495450,917838,603,3,0.3,4250739,Poor,0
Manufacturing,4,6715261,297267,1107880,783,1,0.6,4142111,Good,0
Retail,8,2228854,176688,175555,847,2,0.71,4305188,Good,0
Services,22,1109359,293326,1621853,716,3,0.8,48022,Good,1
Trading,20,2512809,372513,518224,458,4,0.78,4992176,Poor,1
Retail,20,3250214,475229,1357066,448,4,0.87,4002876,Good,1
